,Rider,Price
0,POGAČAR Tadej,47
1,VINGEGAARD Jonas,38
2,AYUSO Juan,12
3,EVENEPOEL Remco,24
4,JORGENSON Matteo,11
5,ROGLIČ Primož,25
6,ALMEIDA João,8
7,YATES Adam,11
8,GALL Felix,8
9,PHILIPSEN Jasper,32
10,PEDERSEN Mads,15
11,THOMAS Geraint,10
12,CICCONE Giulio,9
13,VLASOV Aleksandr,10
14,RODRÍGUEZ Carlos,12
15,COQUARD Bryan,10
16,CORT Magnus,5
17,MARTINEZ Lenny,6
18,HINDLEY Jai,9
19,WILLIAMS Stephen,7
20,MOHORIČ Matej,3
21,BERNAL Egan,7
22,ONLEY Oscar,5
23,BARDET Romain,10
24,VAN AERT Wout,21
25,PIDCOCK Thomas,8
26,LANDA Mikel,9
27,MARTIN Guillaume,7
28,YATES Simon,10
29,SOLER Marc,3
30,MAS Enric,12
31,DE LIE Arnaud,10
32,GESCHKE Simon,2
33,VAN WILDER Ilan,3
34,BILBAO Pello,8
35,GAUDU David,13
36,GEE Derek,4
37,GIRMAY Biniam,7
38,VAUQUELIN Kévin,5
39,BAUHAUS Phil,6
40,BUITRAGO Santiago,11
41,POELS Wout,7
42,MEINTJES Louis,6
43,CAVENDISH Mark,8
44,VAN DEN BERG Marijn,5
45,LAURANCE Axel,3
46,BURGAUDEAU Mathieu,3
47,GRÉGOIRE Romain,5
48,KELDERMAN Wilco,7
49,ARANBURU Alex,2
50,LEMMEN Bart,1
51,GROENEWEGEN Dylan,12
52,GODON Dorian,4
53,LAZKANO Oier,5
54,LAPORTE Christophe,6
55,HARPER Chris,1
56,POWLESS Neilson,4
57,CARAPAZ Richard,13
58,LAMPAERT Yves,2
59,JOHANNESSEN Tobias Halland,7
60,MATTHEWS Michael,6
61,HAIG Jack,9
62,DE PLUS Laurens,1
63,BENNETT Sam,8
64,VAN POPPEL Danny,4
65,ZIMMERMANN Georg,2
66,TEJADA Harold,2
67,CHAMPOUSSIN Clément,3
68,BETTIOL Alberto,3
69,ZINGLE Axel,3
70,VAN GILS Maxim,5
71,GAVIRIA Fernando,7
72,PAGE Hugo,4
73,BISSEGGER Stefan,2
74,BARGUIL Warren,4
75,KWIATKOWSKI Michał,2
76,ROMO Javier,1
77,VAN DER POEL Mathieu,10
78,KÜNG Stefan,3
79,GAZZOLI Michele,1
80,VERONA Carlos,2
81,BALLERINI Davide,2
82,CRAS Steff,4
83,LAPEIRA Paul,2
84,ARMIRAIL Bruno,99
85,LUTSENKO Alexey,99
86,JAKOBSEN Fabio,99
87,WÆRENSKJOLD Søren,99
88,ACKERMANN Pascal,99
89,WRIGHT Fred,99
90,HEALY Ben,99
91,SOBRERO Matteo,99
92,RODRÍGUEZ Cristián,99
93,CAMPENAERTS Victor,99
94,IZAGIRRE Ion,99
95,COSTA Rui,99
96,PRODHOMME Nicolas,99
97,EEKHOFF Nils,99
98,CASTROVIEJO Jonathan,99
99,TRATNIK Jan,99
100,HIRT Jan,99
101,WELLENS Tim,99
102,VERMEERSCH Gianni,99
103,CAPIOT Amaury,99
104,KRISTOFF Alexander,99
105,SKUJIŅŠ Toms,99
106,KULSET Johannes,99
107,SIVAKOV Pavel,99
108,DENZ Nico,99
109,BERNARD Julien,99
110,RUSSO Clément,99
111,TEUNISSEN Mike,99
112,KRAGH ANDERSEN Søren,99
113,THIJSSEN Gerben,99
114,MCLAY Daniel,99
115,ARNDT Nikias,99
116,OLIVEIRA Nelson,99
117,VANHOUCKE Harm,99
118,STUYVEN Jasper,99
119,DÉMARE Arnaud,99
120,HERRADA Jesús,99
121,BOL Cees,99
122,JUUL-JENSEN Christopher,99
123,QUINN Sean,99
124,MADOUAS Valentin,99
125,MEZGEC Luka,99
126,VERVAEKE Louis,99
127,GOOSSENS Kobe,99
128,ABRAHAMSEN Jonas,99
129,MOZZATO Luca,99
130,NEILANDS Krists,99
131,BENOOT Tiesj,99
132,REX Laurenz,99
133,DUJARDIN Sandy,99
134,PETERS Nans,99
135,DILLIER Silvan,99
136,PACHER Quentin,99
137,DRIZNERS Jarrad,99
138,TURGIS Anthony,99
139,JEGAT Jordan,99
140,STEWART Jake,99
141,RICKAERT Jonas,99
142,GARCÍA PIERNA Raúl,99
143,PEDERSEN Casper,99
144,FORMOLO Davide,99
145,VAN DEN BROEK Frank,99
146,JUNGELS Bob,99
147,POLITT Nils,99
148,BEULLENS Cedric,99
149,HALLER Marco,99
150,DECLERCQ Tim,99
151,DURBRIDGE Luke,99
152,GENIETS Kevin,99
153,RENARD Alexis,99
154,TILLER Rasmus,99
155,NAESEN Oliver,99
156,HOULE Hugo,99
157,VERCHER Mattéo,99
158,VAN MOER Brent,99
159,MÜHLBERGER Gregor,99
160,MØRKØV Michael,99
161,GIBBONS Ryan,99
162,EIKING Odd Christian,99
163,ALLEGAERT Piet,99
164,DEGENKOLB John,99
165,GRELLIER Fabien,99
166,GHYS Robbe,99
167,MOSCON Gianni,99
168,GACHIGNARD Thomas,99
169,FUGLSANG Jakob,99
170,FEDOROV Yevgeniy,99
171,BOIVIN Guillaume,99
172,GRIGNARD Sébastien,99
173,REINDERS Elmar,99
174,WELTEN Bram,99
175,TURNER Ben,99
