,Rider,Year,BIB,Team,Jan-Mar,Apr-May,Jun-,TdF,p_Jan-May,p_Jun-Sep,RiderNr,TeamNr,Points
0,POGAČAR Tadej,2024,31,UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT),614.0,1201.0,0.0,160.0,558.0,1191.0,1,3,534.2050492397628
1,VINGEGAARD Jonas,2024,21,Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT),290.0,44.0,0.0,95.0,516.0,1522.0,1,2,460.4380849663487
2,AYUSO Juan,2024,33,UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT),511.0,490.0,50.0,57.0,241.0,943.0,3,3,434.57321457775345
3,EVENEPOEL Remco,2024,91,Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT),438.0,80.0,211.0,138.0,1438.0,1562.0,1,9,393.51973304607526
4,ROGLIČ Primož,2024,101,Red Bull – BORA – hansgrohe (WT)Red Bull – BORA – hansgrohe (WT)Red Bull – BORA – hansgrohe (WT)Red Bull – BORA – hansgrohe (WT)Red Bull – BORA – hansgrohe (WT)Red Bull – BORA – hansgrohe (WT),106.0,133.0,450.0,38.0,1374.0,436.0,1,1,345.14158767238075
5,JORGENSON Matteo,2024,23,Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT),372.0,0.0,479.0,22.0,377.0,71.0,3,2,327.0101780214846
6,ALMEIDA João,2024,32,UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT),177.0,0.0,404.0,30.0,1236.0,548.0,2,3,320.4238549240595
7,GALL Felix,2024,71,Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT),67.0,0.0,69.0,24.0,167.0,854.0,1,7,272.35617824503004
8,PHILIPSEN Jasper,2024,126,Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT),162.0,0.0,0.0,46.0,198.0,812.0,6,1,269.51904242268455
9,YATES Adam,2024,38,UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT),0.0,37.0,483.0,12.0,435.0,549.0,8,3,263.0922685452095
10,PEDERSEN Mads,2024,65,Lidl - Trek (WT)Lidl - Trek (WT)Lidl - Trek (WT)Lidl - Trek (WT)Lidl - Trek (WT)Lidl - Trek (WT),226.0,0.0,112.0,89.0,463.0,417.0,5,6,260.99122995778663
