,Rider,Year,BIB,Team,Jan-Mar,Apr-May,Jun-,TdF,p_Jan-May,p_Jun-Sep,RiderNr,TeamNr,Points,Price,points/price
0,LEMMEN Bart,2024,26,Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT),127.0,45.0,2.0,0.0,0.0,0.0,6,2,94.10596103658813,1,94.10596103658813
1,HARPER Chris,2024,44,Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT),186.0,0.0,0.0,0.0,23.0,66.0,4,4,87.90030598056069,1,87.90030598056069
2,DE PLUS Laurens,2024,54,INEOS Grenadiers (WT)INEOS Grenadiers (WT)INEOS Grenadiers (WT)INEOS Grenadiers (WT)INEOS Grenadiers (WT)INEOS Grenadiers (WT),64.0,0.0,105.0,0.0,61.0,0.0,4,5,72.65036419746744,1,72.65036419746744
3,GESCHKE Simon,2024,164,Cofidis (WT)Cofidis (WT)Cofidis (WT)Cofidis (WT)Cofidis (WT)Cofidis (WT),0.0,183.0,0.0,0.0,3.0,0.0,4,1,140.60824559723363,2,70.30412279861682
4,MOHORIČ Matej,2024,86,Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT),0.0,0.0,0.0,9.0,0.0,578.0,6,8,192.6206242433097,3,64.2068747477699
5,ROMO Javier,2024,178,Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT),6.0,0.0,56.0,0.0,26.0,71.0,8,1,61.725609218172565,1,61.725609218172565
6,GAZZOLI Michele,2024,215,Astana Qazaqstan Team (WT)Astana Qazaqstan Team (WT)Astana Qazaqstan Team (WT)Astana Qazaqstan Team (WT)Astana Qazaqstan Team (WT)Astana Qazaqstan Team (WT),0.0,0.0,28.0,0.0,0.0,0.0,5,2,56.768184970095966,1,56.768184970095966
7,SOLER Marc,2024,36,UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT)UAE Team Emirates (WT),55.0,100.0,70.0,0.0,165.0,351.0,6,3,147.95338856157275,3,49.317796187190915
8,VAN WILDER Ilan,2024,97,Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT),278.0,176.0,0.0,22.0,212.0,167.0,7,9,143.32837852464073,3,47.77612617488024
9,ARANBURU Alex,2024,172,Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT),0.0,206.0,0.0,27.0,125.0,50.0,2,1,94.90504518031426,2,47.45252259015713
10,LAMPAERT Yves,2024,93,Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT)Soudal Quick-Step (WT),4.0,0.0,129.0,0.0,0.0,154.0,3,9,90.2141361301141,2,45.10706806505705
