,Rider,Year,BIB,Team,Jan-Mar,Apr-May,Jun-,TdF,p_Jan-May,p_Jun-Sep,RiderNr,TeamNr,Points,Price,points/price
0,VAN DER POEL Mathieu,2024,121,Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT),0.0,0.0,0.0,0.0,5.0,30.0,1,1,61.250541600040705,10,6.125054160004071
1,CARAPAZ Richard,2024,131,EF Education - EasyPost (WT)EF Education - EasyPost (WT)EF Education - EasyPost (WT)EF Education - EasyPost (WT)EF Education - EasyPost (WT)EF Education - EasyPost (WT),34.0,96.0,7.0,45.0,59.0,79.0,1,1,88.13410210430874,13,6.779546315716057
2,GROENEWEGEN Dylan,2024,43,Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT)Team Jayco AlUla (WT),66.0,0.0,0.0,37.0,183.0,204.0,3,4,98.75381433603775,12,8.229484528003146
3,PHILIPSEN Jasper,2024,126,Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT)Alpecin - Deceuninck (WT),162.0,0.0,0.0,46.0,198.0,812.0,6,1,269.51904242268455,32,8.422470075708892
4,VAN AERT Wout,2024,28,Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT)Team Visma | Lease a Bike (WT),0.0,0.0,0.0,43.0,21.0,652.0,8,2,182.45783654493167,21,8.688468406901508
5,HAIG Jack,2024,85,Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT),36.0,0.0,36.0,0.0,65.0,117.0,5,8,78.9128802603855,9,8.7680978067095
6,GAVIRIA Fernando,2024,174,Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT),31.0,72.0,0.0,65.0,187.0,85.0,4,1,62.56217826050334,7,8.937454037214762
7,BENNETT Sam,2024,73,Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT)Decathlon AG2R La Mondiale Team (WT),64.0,0.0,80.0,30.0,181.0,69.0,3,7,73.31314409284272,8,9.16414301160534
8,BUITRAGO Santiago,2024,84,Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT)Bahrain - Victorious (WT),152.0,45.0,102.0,18.0,300.0,191.0,4,8,110.46009650415371,11,10.041826954923065
9,JOHANNESSEN Tobias Halland,2024,224,Uno-X Mobility (PRT)Uno-X Mobility (PRT)Uno-X Mobility (PRT)Uno-X Mobility (PRT)Uno-X Mobility (PRT)Uno-X Mobility (PRT),0.0,0.0,0.0,2.0,0.0,317.0,4,2,72.97939481899215,7,10.425627831284592
10,MAS Enric,2024,171,Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT)Movistar Team (WT),154.0,80.0,113.0,6.0,179.0,243.0,1,1,132.25792366184842,12,11.02149363848737
