Rider;Team;Price
POGAČAR Tadej;UAE Team Emirates;47
VINGEGAARD Jonas;Jumbo-Visma;38
PHILIPSEN Jasper;Alpecin - Deceuninck;16
RODRÍGUEZ Carlos;INEOS Grenadiers;10
YATES Adam;UAE Team Emirates;14
PEDERSEN Mads;Lidl - Trek;14
YATES Simon;Team Jayco AlUla;12
HINDLEY Jai;BORA - hansgrohe;15
VAN AERT Wout;Jumbo-Visma;17
COQUARD Bryan;Cofidis;4
GALL Felix;AG2R Citroën Team;6
BILBAO Pello;Bahrain - Victorious;9
PIDCOCK Thomas;INEOS Grenadiers;12
MEEUS Jordi;BORA - hansgrohe;3
GROENEWEGEN Dylan;Team Jayco AlUla;11
GAUDU David;Groupama - FDJ;13
PINOT Thibaut;Groupama - FDJ;2
LAFAY Victor;Cofidis;8
KUSS Sepp;Jumbo-Visma;6
SKJELMOSE Mattias;Lidl - Trek;10
POWLESS Neilson;EF Education - EasyPost;5
WOODS Michael;Israel - Premier Tech;8
JOHANNESSEN Tobias Halland;Uno-X Pro Cycling Team;2
GIRMAY Biniam;Intermarché - Circus - Wanty;11
CICCONE Giulio;Lidl - Trek;9
MARTIN Guillaume;Cofidis;11
ASGREEN Kasper;Soudal Quick-Step;99
BAUHAUS Phil;Bahrain - Victorious;5
EWAN Caleb;Lotto Dstny;8
MOZZATO Luca;Team Arkéa Samsic;2
CAVENDISH Mark;Astana Qazaqstan Team;7
STRONG Corbin;Israel - Premier Tech;1
MOHORIČ Matej;Bahrain - Victorious;7
O'CONNOR Ben;AG2R Citroën Team;14
SAGAN Peter;TotalEnergies;5
BOL Cees;Astana Qazaqstan Team;1
KRISTOFF Alexander;Uno-X Pro Cycling Team;10
BURGAUDEAU Mathieu;TotalEnergies;1
ZIMMERMANN Georg;Intermarché - Circus - Wanty;1
ARANBURU Alex;Movistar Team;2
VAN GILS Maxim;Lotto Dstny;3
EENKHOORN Pascal;Lotto Dstny;1
TEUNS Dylan;Israel - Premier Tech;6
KWIATKOWSKI Michał;INEOS Grenadiers;2
BARDET Romain;Team dsm - firmenich;12
MAJKA Rafał;UAE Team Emirates;4
BARGUIL Warren;Team Arkéa Samsic;6
LANDA Mikel;Bahrain - Victorious;13
KELDERMAN Wilco;Jumbo-Visma;9
JAKOBSEN Fabio;Soudal Quick-Step;14
HARPER Chris;Team Jayco AlUla;1
WELSFORD Sam;Team dsm - firmenich;6
ABRAHAMSEN Jonas;Uno-X Pro Cycling Team;1
TRENTIN Matteo;UAE Team Emirates;6
BUCHMANN Emanuel;BORA - hansgrohe;8
JORGENSON Matteo;Movistar Team;2
GUERREIRO Ruben;Movistar Team;4
CAMPENAERTS Victor;Lotto Dstny;2
CASTROVIEJO Jonathan;INEOS Grenadiers;1
WÆRENSKJOLD Søren;Uno-X Pro Cycling Team;2
POELS Wout;Bahrain - Victorious;2
LOUVEL Matis;Team Arkéa Samsic;1
LAPORTE Christophe;Jumbo-Visma;7
BENOOT Tiesj;Jumbo-Visma;2
MADOUAS Valentin;Groupama - FDJ;3
BERTHET Clément;AG2R Citroën Team;1
MEZGEC Luka;Team Jayco AlUla;2
SHAW James;EF Education - EasyPost;1
LATOUR Pierre;TotalEnergies;2
DE BUYST Jasper;Lotto Dstny;2
ALAPHILIPPE Julian;Soudal Quick-Step;13
IZAGIRRE Ion;Cofidis;9
WRIGHT Fred;Bahrain - Victorious;5
GUGLIELMI Simon;Team Arkéa Samsic;1
TEUNISSEN Mike;Intermarché - Circus - Wanty;2
NEILANDS Krists;Israel - Premier Tech;1
LUTSENKO Alexey;Astana Qazaqstan Team;8
CRAS Steff;TotalEnergies;1
HOULE Hugo;Israel - Premier Tech;1
HAIG Jack;Bahrain - Victorious;14
MØRKØV Michael;Soudal Quick-Step;2
STUYVEN Jasper;Lidl - Trek;2
MARTÍNEZ Daniel Felipe;INEOS Grenadiers;14
FEDOROV Yevgeniy;Astana Qazaqstan Team;1
GREGAARD Jonas;Uno-X Pro Cycling Team;1
CAVAGNA Rémi;Soudal Quick-Step;2
