,index,Rider,Team,Stage,RedLantern,IntermediateSprint,IntermediateKOM,GC,KOM,Sprint,Youth,Points
0,116,POGAČAR Tadej,UAE Team Emirates,285.0,0.0,5.0,55.0,235.0,33.0,128.0,110.0,796.0
1,149,VINGEGAARD Jonas,Jumbo-Visma,261.0,0.0,0.0,89.0,246.0,37.0,36.0,0.0,580.0
2,111,PHILIPSEN Jasper,Alpecin - Deceuninck,248.0,0.0,15.0,0.0,0.0,0.0,202.0,0.0,465.0
3,121,RODRÍGUEZ Carlos,INEOS Grenadiers,168.0,0.0,0.0,12.0,154.0,0.0,0.0,84.0,406.0
4,154,YATES Adam,UAE Team Emirates,192.0,0.0,0.0,12.0,194.0,0.0,17.0,0.0,403.0
5,106,PEDERSEN Mads,Lidl - Trek,191.0,0.0,23.0,2.0,0.0,0.0,161.0,0.0,375.0
6,155,YATES Simon,Team Jayco AlUla,190.0,0.0,0.0,44.0,161.0,0.0,17.0,0.0,368.0
7,65,HINDLEY Jai,BORA - hansgrohe,167.0,0.0,0.0,31.0,161.0,3.0,8.0,0.0,339.0
8,140,VAN AERT Wout,Jumbo-Visma,192.0,5.0,7.0,47.0,18.0,2.0,110.0,0.0,334.0
9,28,COQUARD Bryan,Cofidis,121.0,0.0,20.0,0.0,0.0,0.0,158.0,0.0,299.0
10,49,GALL Felix,AG2R Citroën Team,146.0,0.0,0.0,92.0,51.0,57.0,0.0,43.0,297.0
11,13,BILBAO Pello,Bahrain - Victorious,152.0,0.0,2.0,21.0,93.0,0.0,14.0,0.0,261.0
12,113,PIDCOCK Thomas,INEOS Grenadiers,134.0,0.0,0.0,18.0,48.0,0.0,0.0,49.0,231.0
13,92,MEEUS Jordi,BORA - hansgrohe,119.0,2.0,4.0,0.0,0.0,0.0,79.0,0.0,204.0
14,56,GROENEWEGEN Dylan,Team Jayco AlUla,153.0,9.0,0.0,0.0,0.0,0.0,31.0,0.0,193.0
15,50,GAUDU David,Groupama - FDJ,115.0,0.0,0.0,16.0,69.0,0.0,0.0,0.0,184.0
16,114,PINOT Thibaut,Groupama - FDJ,116.0,0.0,0.0,22.0,38.0,0.0,6.0,0.0,160.0
17,81,LAFAY Victor,Cofidis,55.0,1.0,3.0,0.0,26.0,0.0,75.0,0.0,160.0
18,78,KUSS Sepp,Jumbo-Visma,96.0,0.0,0.0,9.0,57.0,0.0,0.0,0.0,153.0
19,127,SKJELMOSE Mattias,Lidl - Trek,93.0,0.0,2.0,29.0,9.0,0.0,0.0,32.0,136.0
20,118,POWLESS Neilson,EF Education - EasyPost,35.0,0.0,7.0,58.0,0.0,85.0,8.0,0.0,135.0
21,151,WOODS Michael,Israel - Premier Tech,84.0,0.0,3.0,28.0,17.0,3.0,20.0,0.0,127.0
22,70,JOHANNESSEN Tobias Halland,Uno-X Pro Cycling Team,99.0,0.0,0.0,38.0,0.0,25.0,0.0,2.0,126.0
23,53,GIRMAY Biniam,Intermarché - Circus - Wanty,88.0,0.0,4.0,0.0,0.0,0.0,32.0,0.0,124.0
24,27,CICCONE Giulio,Lidl - Trek,57.0,0.0,8.0,106.0,8.0,47.0,0.0,0.0,120.0
25,90,MARTIN Guillaume,Cofidis,72.0,0.0,2.0,4.0,34.0,0.0,0.0,0.0,108.0
26,5,ASGREEN Kasper,Soudal Quick-Step,76.0,0.0,7.0,1.0,0.0,0.0,25.0,0.0,108.0
27,8,BAUHAUS Phil,Bahrain - Victorious,101.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0
28,45,EWAN Caleb,Lotto Dstny,67.0,6.0,3.0,0.0,0.0,0.0,29.0,0.0,105.0
29,97,MOZZATO Luca,Team Arkéa Samsic,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
30,24,CAVENDISH Mark,Astana Qazaqstan Team,72.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,98.0
31,129,STRONG Corbin,Israel - Premier Tech,95.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,97.0
32,95,MOHORIČ Matej,Bahrain - Victorious,69.0,4.0,8.0,14.0,0.0,0.0,12.0,0.0,93.0
33,102,O'CONNOR Ben,AG2R Citroën Team,70.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,88.0
34,122,SAGAN Peter,TotalEnergies,83.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
35,16,BOL Cees,Astana Qazaqstan Team,68.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
36,77,KRISTOFF Alexander,Uno-X Pro Cycling Team,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
37,18,BURGAUDEAU Mathieu,TotalEnergies,79.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,81.0
38,156,ZIMMERMANN Georg,Intermarché - Circus - Wanty,67.0,0.0,3.0,5.0,0.0,6.0,0.0,0.0,76.0
39,3,ARANBURU Alex,Movistar Team,72.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,76.0
40,144,VAN GILS Maxim,Lotto Dstny,66.0,2.0,4.0,16.0,0.0,0.0,0.0,1.0,73.0
41,44,EENKHOORN Pascal,Lotto Dstny,41.0,4.0,9.0,3.0,0.0,10.0,9.0,0.0,73.0
42,134,TEUNS Dylan,Israel - Premier Tech,70.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.0
43,79,KWIATKOWSKI Michał,INEOS Grenadiers,70.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,72.0
44,6,BARDET Romain,Team dsm - firmenich,61.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,71.0
45,89,MAJKA Rafał,UAE Team Emirates,46.0,0.0,0.0,4.0,24.0,0.0,0.0,0.0,70.0
46,7,BARGUIL Warren,Team Arkéa Samsic,59.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,66.0
47,83,LANDA Mikel,Bahrain - Victorious,47.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,63.0
48,73,KELDERMAN Wilco,Jumbo-Visma,47.0,0.0,0.0,13.0,16.0,0.0,0.0,0.0,63.0
49,69,JAKOBSEN Fabio,Soudal Quick-Step,45.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
50,63,HARPER Chris,Team Jayco AlUla,42.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,62.0
51,150,WELSFORD Sam,Team dsm - firmenich,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0
52,0,ABRAHAMSEN Jonas,Uno-X Pro Cycling Team,47.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,60.0
53,136,TRENTIN Matteo,UAE Team Emirates,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
54,17,BUCHMANN Emanuel,BORA - hansgrohe,50.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,57.0
55,71,JORGENSON Matteo,Movistar Team,50.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,55.0
56,59,GUERREIRO Ruben,Movistar Team,41.0,0.0,0.0,29.0,0.0,14.0,0.0,0.0,55.0
57,20,CAMPENAERTS Victor,Lotto Dstny,40.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,55.0
58,22,CASTROVIEJO Jonathan,INEOS Grenadiers,32.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,54.0
59,153,WÆRENSKJOLD Søren,Uno-X Pro Cycling Team,46.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
60,115,POELS Wout,Bahrain - Victorious,48.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0
61,86,LOUVEL Matis,Team Arkéa Samsic,40.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,45.0
62,84,LAPORTE Christophe,Jumbo-Visma,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
63,9,BENOOT Tiesj,Jumbo-Visma,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0
64,88,MADOUAS Valentin,Groupama - FDJ,31.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,43.0
65,11,BERTHET Clément,AG2R Citroën Team,43.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,43.0
66,94,MEZGEC Luka,Team Jayco AlUla,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
67,124,SHAW James,EF Education - EasyPost,41.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,41.0
68,85,LATOUR Pierre,TotalEnergies,39.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,41.0
69,33,DE BUYST Jasper,Lotto Dstny,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
70,1,ALAPHILIPPE Julian,Soudal Quick-Step,25.0,2.0,13.0,17.0,0.0,0.0,0.0,0.0,40.0
71,68,IZAGIRRE Ion,Cofidis,35.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,38.0
72,152,WRIGHT Fred,Bahrain - Victorious,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
73,60,GUGLIELMI Simon,Team Arkéa Samsic,24.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,37.0
74,133,TEUNISSEN Mike,Intermarché - Circus - Wanty,29.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,34.0
75,101,NEILANDS Krists,Israel - Premier Tech,30.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,34.0
76,87,LUTSENKO Alexey,Astana Qazaqstan Team,29.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,33.0
77,32,CRAS Steff,TotalEnergies,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
78,66,HOULE Hugo,Israel - Premier Tech,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
79,61,HAIG Jack,Bahrain - Victorious,27.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,29.0
80,98,MØRKØV Michael,Soudal Quick-Step,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
81,130,STUYVEN Jasper,Lidl - Trek,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
82,91,MARTÍNEZ Daniel Felipe,INEOS Grenadiers,19.0,5.0,1.0,22.0,0.0,1.0,0.0,0.0,26.0
83,46,FEDOROV Yevgeniy,Astana Qazaqstan Team,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
84,55,GREGAARD Jonas,Uno-X Pro Cycling Team,18.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,25.0
85,23,CAVAGNA Rémi,Soudal Quick-Step,20.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,25.0
86,43,EEKHOFF Nils,Team dsm - firmenich,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
87,31,CRADDOCK Lawson,Team Jayco AlUla,24.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,24.0
88,26,CHAVES Esteban,EF Education - EasyPost,22.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,23.0
89,143,VAN DER POEL Mathieu,Alpecin - Deceuninck,14.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,22.0
90,146,VAN POPPEL Danny,BORA - hansgrohe,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
91,93,MEINTJES Louis,Intermarché - Circus - Wanty,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
92,132,TEJADA Harold,Astana Qazaqstan Team,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,20.0
93,107,PEDRERO Antonio,Movistar Team,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
94,12,BETTIOL Alberto,EF Education - EasyPost,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0
95,135,TILLER Rasmus,Uno-X Pro Cycling Team,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
96,142,VAN DEN BERG Lars,Groupama - FDJ,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
97,34,DE LA CRUZ David,Astana Qazaqstan Team,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0
98,82,LAMPAERT Yves,Soudal Quick-Step,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
99,48,FRISON Frederik,Lotto Dstny,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
100,80,KÜNG Stefan,Groupama - FDJ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
101,67,IZAGIRRE Gorka,Movistar Team,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
102,76,KRAGH ANDERSEN Søren,Alpecin - Deceuninck,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
103,58,GUARNIERI Jacopo,Lotto Dstny,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
104,62,HALLER Marco,BORA - hansgrohe,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
105,123,SCHULTZ Nick,Israel - Premier Tech,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
106,120,RICKAERT Jonas,Alpecin - Deceuninck,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
107,117,POLITT Nils,BORA - hansgrohe,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
108,38,DEVENYNS Dries,Soudal Quick-Step,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
